PK_LOCALIDADE;customer_address_1;customer_address_2;customer_address_3;customer_address_4;address_number;region_code;region_name;city;country;state;zip_code
9fb2151089efef861e1ff2e1ec2855e6cd9a760047737ab330e0f93d21d72ee6;8151 Wagner Road;Não informado;Não informado;Não informado;10000456;0;Canada;Edmonton;CA;AB;T6E 4N6
89d068890c3e415c1ef2e03f779c0b92a95ebd0803ec715d45c06086872b47d6;Attention: Ann Borden;PO Box 31435;Não informado;Não informado;10014804;2;Southern;Shreveport;US;LA;71130
ca0e9e91263b9ae17719377f01eb0fe2f15363cdef56077a913b288cf5c26307;PO Box 57;Não informado;Não informado;Não informado;10024006;4;Central;Columbiana;US;OH;44408
5cf6f211b7836d5ae013a4dcb7e4cfba7a26300c9aceaa42f84de568e2530640;PO Box 660;Não informado;Não informado;Não informado;10017553;4;Central;Ottawa;US;KS;66067-3805
5817db4300ba01e81c64eddaee6efb7ccf2297b45b9dc14f144ee2e6a412ab9a;PO Box 80509;Não informado;Não informado;Não informado;10025061;4;Central;Canton;US;OH;44708
66b906ed41dc86c9a1c1f2b4e036ad1529c32525e485825e6639f869b8f92912;Attention: Accounts Payable Department;PO Box 8844;Não informado;Não informado;10020909;4;Central;Canton;US;OH;44711-8844
f626f99dcbfebb305320e19aff0ec076994f004899aecf1bbdc52b54713fa15d;Customer Address 1;Customer Address 2;Customer Address 3;Customer Address 4;Address Number;Region Code;Region Name;City;Country;State;Zip Code
b4cc9cf233e05e88c16581d1be2698135980937b1548dee30054da160db11b00;3650 Bay Street;Não informado;Não informado;Não informado;10025515;2;Southern;Jackson;US;MS;39213
e430a1a4e35ac92e6908c5e18e87b2d1114992c5a546149755bace5d409e13e5;861 West US Highway 30;Não informado;Não informado;Não informado;10019400;4;Central;Valparaiso;US;IN;46385
c6e788695d6737a1a218d39085817e6d7e7db0895c345324cd1843b44cd97b88;Attention: Accounts Payable Department;PO Box 8844;Não informado;Não informado;10014810;4;Central;Canton;US;OH;44711-8844
74a40c126147008bea3c5fab91377f3acb3c91d0a992218d6c819241fcad4cdf;600 South Brooks Avenue;Não informado;Não informado;Não informado;10023023;4;Central;Thief River Falls;US;MN;56701
38f690d5bc300caea911c685ba406ecc65b6e95e29f7614ab26b111990309d94;2125 Whitney Avenue;Não informado;Não informado;Não informado;10009623;2;Southern;Gretna;US;LA;70056
bd4df5f41aedfb941456300b8dc3dddfac106465d0c1884066b196a0baa10f67;3564 Buford Highway;Não informado;Não informado;Não informado;10019879;2;Southern;Duluth;US;GA;30096
ab76488d832c93b2dd04d3ebdf3e7bb8cd56436d7f433f89945904cb9f9122e3;3290 Monier Circle #100;Não informado;Não informado;Não informado;10000473;1;Western;Rancho Cordova;US;CA;95742
ede18880f4b020d2b30f64bcd452c76fdc82f0ca5c1c03ddd4812b68e62e2eb8;c/o Rampar International Trade Corp.;6260 Place Northcrest Suite 305;Não informado;Não informado;10025032;0;Canada;Montreal;CA;QU;H3S 2T4
47452a721655d59da59fca445219631719b1171ee1d14bfaa744c4e00f5737c1;PO Box 129;Não informado;Não informado;Não informado;10016784;4;Central;Pocahontas;US;IA;50574
3ea184b2f699d233e6bfafa45ee8b267ada01a711f30cd73613e719498b677b8;6104 Young Road;Não informado;Não informado;Não informado;10025558;2;Southern;Little Rock;US;AR;72209
a1da0fd0ac8e276c21c9b38020a99373c298187a1d4e917fac8b4bc978562ddf;PO Box 510;Não informado;Não informado;Não informado;10012422;2;Southern;Saginaw;US;AL;35137
